loan_id,loan_amount_x,first_payment_date_x,principal_interest_payment,interest_rate_x,loan_term_x,next_payment_due_date,payment_periods_made,current_balance,amortized_balance,golden_sachs,storgan_manley,smells_largo,bank_of_americans,pj_logan,state_code,county,conforming_loan_limit,loan_purpose,loan_amount_y,closing_date,first_payment_date_y,maturity_date,loan_term_y,principal_interest_pmt,interest_rate_y,property_value,total_loan_costs,origition_charges,other_loan_costs,occupancy_type,total_units,income_thousands,recurring_monthly_debt,median_fico_score,credit_score_type,aus_type,umbs_code,target_profit,file_at_custodian,umbs price,trade_margin,Target Profit,Trade Premium,points_and_fees,Total Loan Revenue,Gross Profit,Profit Margin,Winning Bid,Winner,actual trade premium,days_diff,payment_status
5021384,235000,2021-11-01,1539.45,0.0225,180,2021-11-01,0,235000.0,276631.3286405447,97.9425,98.03625,97.97375,98.005,97.72375,GA,Fulton    ,1,3,235000,2021-09-15,2021-11-01,2036-10-01,180,1536.57,2.25,449589,12977.500000000033,12032.000000000033,945.5,2,1,143,2622,655,0,1,2.0,11750.000000000011,,99.88,-0.0012000000000000899,11750.000000000011,-282.00000000002115,12032.000000000033,11750.000000000011,11750.000000000011,0.050000000000000044,-0.0012000000000000454,4,-282.0000000000107,0,closed
5021389,325000,2021-10-01,2089.91,0.0199,180,2021-10-01,0,325000.0,375619.79405168473,95.7,95.66875,95.66875,95.73125,95.66875,CA,Orange    ,1,4,325000,2021-09-14,2021-10-01,2036-09-01,180,2086.4500000000003,1.99,550195,24537.500000000004,24537.500000000004,0.0,2,1,130,3142,667,0,1,1.5,16250.000000000015,,97.45,-0.025499999999999967,16250.000000000015,-8287.499999999989,24537.500000000004,16250.000000000015,16250.000000000015,0.050000000000000044,-0.02549999999999997,4,-8287.49999999999,0,closed
5021391,85000,2021-10-01,369.93,0.0325,360,2021-10-01,0,85000.0,132525.89182637853,103.9375,103.90625,103.90625,103.9375,103.96875,CA,Kern    ,1,3,85000,2021-09-01,2021-10-01,2051-09-01,360,368.93,3.25,160016,967.0,0.0,967.0,2,1,37,1172,664,0,1,3.0,4250.000000000004,2021-09-15 07:31:09.451,105.0,0.050000000000000044,4250.000000000004,4250.000000000004,0.0,4250.000000000004,4250.000000000004,0.050000000000000044,0.05,4,4250.0,0,closed
5021394,275000,2021-10-01,1196.82,0.0325,360,2021-10-01,0,275000.0,428755.81287174963,102.9225,102.95375,102.89125,102.95375,102.89125,FL,Clay    ,1,4,275000,2021-09-14,2021-10-01,2051-09-01,360,1193.59,3.25,350096,2395.8500000000035,1072.5000000000036,1323.35,2,1,105,2975,667,2,0,3.0,13750.000000000013,,104.61,0.04610000000000003,13750.000000000013,12677.50000000001,1072.5000000000036,13750.000000000013,13750.000000000013,0.050000000000000044,0.046099999999999995,4,12677.499999999998,0,closed
5021398,735000,2021-10-01,3174.62,0.0319,360,2021-10-01,0,735000.0,1137396.957153005,102.34625,102.34625,102.34625,102.34625,102.315,WA,Pierce    ,1,3,735000,2021-08-28,2021-10-01,2051-09-01,360,3166.2000000000003,3.19,1278706,13732.86,13303.5,429.36,2,1,244,8134,635,0,1,2.5,36750.00000000003,2021-09-10 20:32:42.114,103.19,0.03190000000000004,36750.00000000003,23446.50000000003,13303.5,36750.00000000003,36750.00000000003,0.05000000000000004,0.03189999999999998,4,23446.49999999998,0,closed
5021400,255000,2021-10-01,1319.34,0.029900000000000003,264,2021-10-01,0,255000.0,347158.3793114321,100.5025,100.59625,100.59625,100.565,100.47125,UT,Utah    ,1,3,255000,2021-09-06,2021-10-01,2043-09-01,264,1316.06,2.99,440948,6076.500000000001,4615.500000000001,1461.0,2,1,135,3263,650,1,0,2.5,12750.000000000011,2021-09-20 18:58:47.652,103.19,0.03190000000000004,12750.000000000011,8134.50000000001,4615.500000000001,12750.000000000011,12750.000000000011,0.050000000000000044,0.03189999999999998,4,8134.4999999999945,0,closed
5021405,135000,2021-10-01,740.29,0.02875,240,2021-10-01,0,135000.0,177157.66142987495,101.47125,101.40875,101.47125,101.44,101.44,CT,Tolland    ,1,4,135000,2021-08-26,2021-10-01,2041-09-01,240,738.52,2.875,232759,4453.730000000001,2443.500000000001,2010.23,2,1,65,2005,643,1,1,2.5,6750.000000000006,2021-09-08 08:11:28.093,103.19,0.03190000000000004,6750.000000000006,4306.5000000000055,2443.500000000001,6750.000000000006,6750.000000000006,0.050000000000000044,0.03189999999999998,4,4306.499999999997,0,closed
5021406,105000,2021-10-01,712.56,0.0275,180,2021-10-01,0,105000.0,127995.16188251028,102.565,102.59625,102.53375,102.565,102.59625,OH,Gallia    ,1,4,105000,2021-09-01,2021-10-01,2036-09-01,180,710.93,2.75,135153,3440.0000000000005,1900.5000000000005,1539.5,2,1,91,1745,664,2,1,2.5,5250.000000000005,2021-09-15 16:39:01.023,103.19,0.03190000000000004,5250.000000000005,3349.500000000004,1900.5000000000005,5250.000000000005,5250.000000000005,0.050000000000000044,0.03189999999999998,4,3349.4999999999977,0,closed
5021409,545000,2021-10-01,2280.15,0.0294,360,2021-10-01,0,545000.0,817234.6861377078,100.7525,100.59625,100.72125,100.69,100.72125,CA,San Diego   ,1,3,545000,2021-08-31,2021-10-01,2051-09-01,360,2274.5800000000004,2.94,855305,9864.500000000004,9864.500000000004,0.0,2,1,125,4792,643,1,1,2.5,27250.000000000025,2021-09-08 08:34:25.780,103.19,0.03190000000000004,27250.000000000025,17385.500000000022,9864.500000000004,27250.000000000025,27250.000000000025,0.050000000000000044,0.03189999999999998,4,17385.49999999999,0,closed
5021412,175000,2021-10-01,708.88,0.0269,360,2021-10-01,0,175000.0,254167.00797872464,98.41125,98.47375,98.53625,98.505,98.255,GA,Camden    ,1,2,175000,2021-09-06,2021-10-01,2051-09-01,360,707.29,2.69,184211,10949.500000000024,8960.000000000024,1989.5,2,1,61,2390,650,0,1,2.0,8750.000000000007,2021-09-15 20:35:45.623,99.88,-0.0012000000000000899,8750.000000000007,-210.00000000001572,8960.000000000024,8750.000000000007,8105.870000000007,0.04631925714285719,-0.0012000000000000454,4,-210.00000000000796,0,closed
5021416,605000,2021-11-01,2547.45,0.029900000000000003,360,2021-11-01,0,605000.0,912969.8348062952,103.09625,103.15875,103.15875,103.1275,103.1275,CA,Ventura    ,1,2,605000,2021-09-16,2021-11-01,2051-10-01,360,2541.1200000000003,2.99,902986,15823.0,10950.5,4872.5,2,1,96,3440,655,1,1,2.5,30250.000000000025,,103.19,0.03190000000000004,30250.000000000025,19299.500000000025,10950.5,30250.000000000025,30250.000000000025,0.050000000000000044,0.03189999999999998,4,19299.499999999985,0,closed
5021418,75000,2021-10-01,508.97,0.0275,180,2021-10-01,0,75000.0,91424.85902007026,100.815,100.72125,100.78375,100.7525,100.78375,NJ,Cumberland    ,1,3,75000,2021-09-01,2021-10-01,2036-09-01,180,507.81,2.75,210026,2058.0,1357.5,700.5,2,1,72,1620,643,2,1,2.5,3750.000000000003,2021-09-13 06:14:36.876,103.19,0.03190000000000004,3750.000000000003,2392.500000000003,1357.5,3750.000000000003,3750.000000000003,0.050000000000000044,0.03189999999999998,4,2392.499999999998,0,closed
5021420,555000,2021-10-01,2265.74,0.0275,360,2021-10-01,0,555000.0,812301.7405192318,100.815,100.72125,100.78375,100.7525,100.78375,CA,Los Angeles   ,1,4,555000,2021-09-02,2021-10-01,2051-09-01,360,2260.5600000000004,2.75,895017,12607.250000000004,10045.500000000004,2561.750000000002,1,3,289,8189,643,1,0,2.5,27750.000000000025,2021-09-10 10:14:52.025,103.19,0.03190000000000004,27750.000000000025,17704.500000000022,10045.500000000004,27750.000000000025,27750.000000000025,0.050000000000000044,0.03189999999999998,4,17704.499999999985,0,closed
5021422,215000,2021-10-01,1864.69,0.025,132,2021-10-01,0,215000.0,245798.39191782512,98.28625,98.34875,98.41125,98.38,98.255,MN,Ramsey    ,1,4,215000,2021-09-07,2021-10-01,2032-09-01,132,1860.81,2.5,391907,12216.50000000003,11008.00000000003,1208.5,2,1,91,3565,650,0,1,2.0,10750.00000000001,,99.88,-0.0012000000000000899,10750.00000000001,-258.0000000000193,11008.00000000003,10750.00000000001,10750.00000000001,0.050000000000000044,-0.0012000000000000454,4,-258.0000000000098,0,closed
5021427,125000,2021-10-01,561.31,0.035,360,2021-10-01,0,125000.0,201011.51139914637,0.0,0.0,0.0,0.0,0.0,NC,Forsyth    ,1,4,125000,2021-09-09,2021-10-01,2051-09-01,360,559.68,3.5,156250,2078.300000000002,487.5000000000018,1590.8000000000002,2,1,32,1120,620,2,0,3.0,6250.0000000000055,2021-09-17 17:24:34.809,104.61,0.04610000000000003,6250.0000000000055,5762.500000000004,487.5000000000018,6250.0000000000055,6250.0000000000055,0.050000000000000044,0.046099999999999995,4,5762.499999999999,0,closed
5021431,205000,2021-11-01,850.53,0.02875,360,2021-11-01,0,205000.0,304870.5039366367,103.09625,103.15875,103.15875,103.1275,103.1275,WA,Chelan    ,1,3,205000,2021-09-16,2021-11-01,2051-10-01,360,848.5,2.875,355595,4847.440000000001,3710.500000000001,1136.9400000000005,2,1,68,1757,655,2,0,2.5,10250.00000000001,,103.19,0.03190000000000004,10250.00000000001,6539.500000000008,3710.500000000001,10250.00000000001,10250.00000000001,0.050000000000000044,0.03189999999999998,4,6539.499999999995,0,closed
5021433,315000,2021-10-01,1285.96,0.0275,360,2021-10-01,0,315000.0,461035.9292055185,100.8775,100.78375,100.84625,100.84625,100.84625,VA,James City   ,1,4,315000,2021-09-01,2021-10-01,2051-09-01,360,1283.02,2.75,381911,7102.910000000002,5701.500000000002,1401.4100000000003,2,1,73,2251,635,0,1,2.5,15750.000000000015,2021-09-09 03:27:33.740,103.19,0.03190000000000004,15750.000000000015,10048.500000000013,5701.500000000002,15750.000000000015,15750.000000000015,0.050000000000000044,0.03189999999999998,4,10048.499999999993,0,closed
5021437,175000,2021-10-01,777.23,0.02875,324,2021-10-01,0,175000.0,250844.6646793779,0.0,0.0,0.0,0.0,0.0,CA,San Diego   ,1,4,175000,2021-09-02,2021-10-01,2048-09-01,324,775.37,2.875,512446,4254.5,3167.5,1087.0,2,1,36,1410,643,2,1,2.5,8750.000000000007,2021-09-13 12:47:55.455,103.19,0.03190000000000004,8750.000000000007,5582.500000000007,3167.5,8750.000000000007,8750.000000000007,0.050000000000000044,0.03189999999999998,4,5582.499999999996,0,closed
5021441,195000,2021-10-01,848.66,0.0325,360,2021-10-01,0,195000.0,304028.93346680293,0.0,0.0,0.0,0.0,0.0,GA,Gwinnett    ,1,3,195000,2021-09-13,2021-10-01,2051-09-01,360,846.37,3.25,291045,3006.250000000004,760.5000000000036,2245.75,2,1,111,3978,620,0,1,3.0,9750.00000000001,,104.61,0.04610000000000003,9750.00000000001,8989.500000000005,760.5000000000036,9750.00000000001,9750.00000000001,0.050000000000000044,0.046099999999999995,4,8989.499999999998,0,closed
5021444,245000,2021-09-01,1313.24,0.02625,240,2021-09-01,0,245000.0,314348.2755952274,99.91125,99.97375,99.97375,99.9425,99.8175,UT,Davis    ,1,2,245000,2021-08-03,2021-09-01,2041-08-01,240,1310.37,2.625,408334,13746.000000000033,12544.000000000033,1202.0,2,1,81,2430,656,1,0,2.0,12250.000000000011,2021-09-15 00:00:00.000,99.88,-0.0012000000000000899,12250.000000000011,-294.000000000022,12544.000000000033,12250.000000000011,12250.000000000011,0.050000000000000044,-0.00026250000000004547,3,-64.31250000001114,0,closed
5021446,535000,2021-10-01,2079.3,0.02375,360,2021-10-01,0,535000.0,745880.2650835966,0.0,0.0,0.0,0.0,0.0,MA,Middlesex    ,1,4,535000,2021-09-11,2021-10-01,2051-09-01,360,2075.19,2.375,858060,27392.000000000076,27392.000000000073,0.0,2,1,122,3864,620,2,1,2.0,26750.000000000025,2021-09-20 13:39:02.587,99.88,-0.0012000000000000899,26750.000000000025,-642.0000000000481,27392.000000000073,26750.000000000025,26750.000000000025,0.050000000000000044,-0.0012000000000000454,4,-642.0000000000243,0,closed
5021450,605000,2021-10-01,2674.69,0.03375,360,2021-10-01,0,605000.0,958016.7838072772,102.36,102.32875,102.32875,102.32875,102.32875,KY,Fayette    ,0,2,605000,2021-09-01,2021-10-01,2051-09-01,360,2667.19,3.375,756250,5438.000000000007,2359.5000000000073,3078.5,0,1,255,9350,635,2,1,3.0,30250.000000000025,2021-09-15 14:13:37.391,104.61,0.04610000000000003,30250.000000000025,27890.50000000002,2359.5000000000073,30250.000000000025,30250.000000000025,0.050000000000000044,0.046099999999999995,4,27890.499999999996,0,closed
5021451,205000,2021-10-01,863.19,0.029900000000000003,360,2021-10-01,0,205000.0,309355.0145072312,0.0,0.0,0.0,0.0,0.0,IL,Will    ,1,4,205000,2021-09-13,2021-10-01,2051-09-01,360,861.04,2.99,259494,4925.5,3710.500000000001,1214.9999999999995,2,1,69,2128,620,0,1,2.5,10250.00000000001,,103.19,0.03190000000000004,10250.00000000001,6539.500000000008,3710.500000000001,10250.00000000001,10250.00000000001,0.050000000000000044,0.03189999999999998,4,6539.499999999995,0,closed
5021455,305000,2021-10-01,1327.38,0.0325,360,2021-10-01,0,305000.0,475528.39264860476,102.2975,102.26625,102.39125,102.36,102.26625,CA,Fresno    ,1,2,305000,2021-09-07,2021-10-01,2051-09-01,360,1323.8,3.25,660889,3688.600000000004,1189.5000000000036,2499.1,1,1,120,3800,650,2,1,3.0,15250.000000000013,2021-09-17 06:41:17.599,104.61,0.04610000000000003,15250.000000000013,14060.50000000001,1189.5000000000036,15250.000000000013,15250.000000000013,0.050000000000000044,0.046099999999999995,4,14060.499999999998,0,closed
5021456,495000,2021-10-01,2020.8,0.0275,360,2021-10-01,0,495000.0,724487.080265725,102.2525,102.34625,102.22125,102.2525,102.28375,CA,Orange    ,1,3,495000,2021-09-02,2021-10-01,2051-09-01,360,2016.18,2.75,750000,10271.000000000002,8959.500000000002,1311.5,2,1,120,3800,664,2,1,2.5,24750.000000000022,2021-09-15 01:32:29.354,103.19,0.03190000000000004,24750.000000000022,15790.50000000002,8959.500000000002,24750.000000000022,24750.000000000022,0.050000000000000044,0.03189999999999998,4,15790.499999999989,0,closed
5021461,205000,2021-10-01,863.19,0.029900000000000003,360,2021-10-01,0,205000.0,309355.0145072312,102.7325,102.76375,102.70125,102.70125,102.70125,ME,Sagadahoc    ,1,4,205000,2021-09-01,2021-10-01,2051-09-01,360,861.04,2.99,259494,2812.9999999999945,1701.4999999999945,1111.5,2,1,58,2272,635,1,1,2.5,10250.00000000001,2021-09-08 05:18:31.624,104.17,0.04170000000000007,10250.00000000001,8548.500000000015,1701.4999999999945,10250.00000000001,10250.00000000001,0.050000000000000044,0.041700000000000015,4,8548.500000000004,0,closed
5021464,245000,2021-11-01,1000.2,0.0275,360,2021-11-01,0,245000.0,358586.68729304144,0.0,0.0,0.0,0.0,0.0,UT,Salt Lake   ,1,4,245000,2021-09-17,2021-11-01,2051-10-01,360,997.91,2.75,331216,5541.000000000001,4434.500000000001,1106.5,2,1,59,1770,620,1,1,2.5,12250.000000000011,,103.19,0.03190000000000004,12250.000000000011,7815.50000000001,4434.500000000001,12250.000000000011,12250.000000000011,0.050000000000000044,0.03189999999999998,4,7815.4999999999945,0,closed
5021465,105000,2021-10-01,493.75,0.03875,360,2021-10-01,0,105000.0,176717.98336611272,103.4575,103.42625,103.55125,103.52,103.42625,TN,Bradley    ,1,3,105000,2021-09-07,2021-10-01,2051-09-01,360,492.15999999999997,3.875,140000,941.3000000000192,-808.4999999999809,1749.8000000000002,2,1,43,1577,650,1,0,3.5,5250.000000000005,2021-09-17 12:07:12.402,105.77,0.05769999999999986,5250.000000000005,6058.499999999985,-808.4999999999809,5250.000000000005,5250.000000000005,0.050000000000000044,0.05769999999999996,4,6058.499999999995,0,closed
5021467,295000,2021-10-01,1304.19,0.03375,360,2021-10-01,0,295000.0,467132.9796251576,102.9225,102.95375,102.89125,102.95375,102.89125,FL,Manatee    ,1,3,295000,2021-09-14,2021-10-01,2051-09-01,360,1300.53,3.375,393334,3267.900000000004,1150.5000000000036,2117.4,2,1,110,3484,667,1,1,3.0,14750.000000000013,,104.61,0.04610000000000003,14750.000000000013,13599.50000000001,1150.5000000000036,14750.000000000013,14750.000000000013,0.050000000000000044,0.046099999999999995,4,13599.499999999998,0,closed
5021468,95000,2021-10-01,420.0,0.03375,360,2021-10-01,0,95000.0,150435.02207697206,104.51625,104.57875,104.57875,104.5475,104.5475,OH,Lorain    ,1,2,95000,2021-08-24,2021-10-01,2051-09-01,360,418.82,3.375,100000,1577.130000000002,370.5000000000018,1206.63,2,1,45,750,656,2,0,3.0,4750.000000000005,2021-09-08 00:01:53.774,104.61,0.04610000000000003,4750.000000000005,4379.500000000003,370.5000000000018,4750.000000000005,4750.000000000005,0.050000000000000044,0.046099999999999995,4,4379.499999999999,0,closed
5021472,255000,2021-10-01,1145.07,0.035,360,2021-10-01,0,255000.0,410062.62378689233,103.1725,103.20375,103.14125,103.14125,103.14125,NY,Montgomery    ,1,2,255000,2021-09-01,2021-10-01,2051-09-01,360,1141.74,3.5,322785,3864.500000000004,994.5000000000036,2870.0,2,1,64,2454,635,1,1,3.0,12750.000000000011,2021-09-13 04:03:22.675,104.61,0.04610000000000003,12750.000000000011,11755.500000000007,994.5000000000036,12750.000000000011,12750.000000000011,0.050000000000000044,0.046099999999999995,4,11755.499999999998,0,closed
5021475,85000,2021-10-01,683.85,0.025,144,2021-10-01,0,85000.0,98325.81331290359,98.5675,98.59875,98.53625,98.53625,98.41125,PA,Lycoming    ,1,4,85000,2021-09-03,2021-10-01,2033-09-01,144,682.43,2.5,216948,5821.920000000011,4352.000000000011,1469.9200000000005,2,1,89,2225,635,0,0,2.0,4250.000000000004,2021-09-15 22:32:50.369,99.88,-0.0012000000000000899,4250.000000000004,-102.00000000000765,4352.000000000011,4250.000000000004,4250.000000000004,0.050000000000000044,-0.0012000000000000454,4,-102.00000000000387,0,closed
5021476,385000,2021-10-01,1559.52,0.0269,360,2021-10-01,0,385000.0,559161.6807964403,98.4425,98.47375,98.41125,98.41125,98.41125,OK,Oklahoma    ,1,3,385000,2021-09-04,2021-10-01,2051-09-01,360,1556.04,2.69,647059,19712.00000000005,19712.000000000055,0.0,2,1,84,2800,635,1,1,2.0,19250.00000000002,2021-09-16 17:16:19.239,99.88,-0.0012000000000000899,19250.00000000002,-462.0000000000346,19712.000000000055,19250.00000000002,19250.00000000002,0.050000000000000044,-0.0012000000000000454,4,-462.0000000000175,0,closed
5021480,355000,2021-10-01,1472.87,0.02875,360,2021-10-01,0,355000.0,527946.8321319108,0.0,0.0,0.0,0.0,0.0,MA,Essex    ,1,2,355000,2021-08-25,2021-10-01,2051-09-01,360,1469.35,2.875,394445,9547.73,6425.5,3122.2299999999996,2,1,89,3338,621,2,1,2.5,17750.000000000015,2021-09-06 14:50:47.966,103.19,0.03190000000000004,17750.000000000015,11324.500000000015,6425.5,17750.000000000015,17750.000000000015,0.050000000000000044,0.03189999999999998,4,11324.499999999993,0,closed
5021484,165000,2021-10-01,1090.52,0.02375,180,2021-10-01,0,165000.0,195942.4313069093,99.1925,99.28625,99.22375,99.1925,99.22375,WI,Waukesha    ,1,3,165000,2021-08-25,2021-10-01,2036-09-01,180,1088.37,2.375,279662,10197.500000000022,8448.000000000022,1749.5,2,1,103,2919,656,0,1,2.0,8250.000000000007,2021-09-06 12:18:06.779,99.88,-0.0012000000000000899,8250.000000000007,-198.00000000001484,8448.000000000022,8250.000000000007,8250.000000000007,0.050000000000000044,-0.0012000000000000454,4,-198.0000000000075,0,closed
5021487,665000,2021-11-01,2872.27,0.0319,360,2021-11-01,0,665000.0,1029071.5607291147,102.8575,102.88875,102.82625,102.88875,102.82625,MA,Essex    ,1,2,665000,2021-09-16,2021-11-01,2051-10-01,360,2864.6600000000003,3.19,738889,6963.799999999982,5519.499999999982,1444.3,2,1,334,10577,667,2,1,2.5,33250.00000000003,,104.17,0.04170000000000007,33250.00000000003,27730.500000000047,5519.499999999982,33250.00000000003,33250.00000000003,0.050000000000000044,0.041700000000000015,4,27730.50000000001,0,closed
5021488,425000,2021-10-01,1763.3,0.02875,360,2021-10-01,0,425000.0,632050.7913788715,100.94,100.97125,101.03375,101.0025,100.90875,CA,San Joaquin   ,1,4,425000,2021-09-08,2021-10-01,2051-09-01,360,1759.08,2.875,495281,8719.330000000002,7692.500000000002,1026.83,2,1,145,5075,650,2,1,2.5,21250.00000000002,2021-09-15 23:35:51.192,103.19,0.03190000000000004,21250.00000000002,13557.500000000016,7692.500000000002,21250.00000000002,21250.00000000002,0.050000000000000044,0.03189999999999998,4,13557.49999999999,0,closed
5021492,275000,2021-10-01,1104.54,0.02625,360,2021-10-01,0,275000.0,396068.501448059,99.78625,99.84875,99.84875,99.8175,99.8175,NJ,Middlesex    ,1,2,275000,2021-09-01,2021-10-01,2051-09-01,360,1102.1299999999999,2.625,343750,14669.010000000038,14080.000000000038,589.0100000000002,2,1,55,1788,656,1,1,2.0,13750.000000000013,2021-09-09 09:28:17.192,99.88,-0.0012000000000000899,13750.000000000013,-330.0000000000247,14080.000000000038,13750.000000000013,13750.000000000013,0.050000000000000044,-0.0012000000000000454,4,-330.0000000000125,0,closed
5021493,285000,2021-10-01,1126.1,0.025,360,2021-10-01,0,285000.0,403875.3672087046,101.43625,101.49875,101.56125,101.53,101.405,AZ,Maricopa    ,1,4,285000,2021-09-08,2021-10-01,2051-09-01,360,1123.76,2.5,460569,6339.880000000015,5614.500000000015,725.3800000000001,2,1,88,1614,650,0,1,2.0,14250.000000000013,2021-09-16 16:14:50.056,103.03,0.030299999999999994,14250.000000000013,8635.499999999998,5614.500000000015,14250.000000000013,14250.000000000013,0.050000000000000044,0.03030000000000001,4,8635.500000000004,0,closed
